trial,N_bits,success,factor_found,time_seconds,dims,search_range,timestamp
1,199,False,,0.056,17,5000,2025-10-23T16:42:40.306632
2,199,False,,0.061,17,5000,2025-10-23T16:42:40.368662
3,199,False,,0.052,17,5000,2025-10-23T16:42:40.421396
4,199,False,,0.052,17,5000,2025-10-23T16:42:40.474218
5,199,False,,0.052,17,5000,2025-10-23T16:42:40.527273
6,199,False,,0.075,17,5000,2025-10-23T16:42:40.605247
7,199,False,,0.079,17,5000,2025-10-23T16:42:40.685088
8,199,False,,0.07,17,5000,2025-10-23T16:42:40.755330
9,199,False,,0.053,17,5000,2025-10-23T16:42:40.808248
10,199,False,,0.052,17,5000,2025-10-23T16:42:40.861058
11,199,False,,0.057,17,5000,2025-10-23T16:42:40.918874
12,199,False,,0.068,17,5000,2025-10-23T16:42:40.987080
13,199,False,,0.064,17,5000,2025-10-23T16:42:41.051625
14,199,False,,0.059,17,5000,2025-10-23T16:42:41.112085
15,199,False,,0.052,17,5000,2025-10-23T16:42:41.164838
16,199,False,,0.088,17,5000,2025-10-23T16:42:41.253567
17,199,False,,0.092,17,5000,2025-10-23T16:42:41.346134
18,199,False,,0.055,17,5000,2025-10-23T16:42:41.401464
19,199,False,,0.096,17,5000,2025-10-23T16:42:41.497480
20,199,False,,0.147,17,5000,2025-10-23T16:42:41.645227
21,199,False,,0.13,17,5000,2025-10-23T16:42:41.775964
22,199,False,,0.066,17,5000,2025-10-23T16:42:41.842772
23,199,False,,0.062,17,5000,2025-10-23T16:42:41.905598
24,199,False,,0.052,17,5000,2025-10-23T16:42:41.958331
25,199,False,,0.061,17,5000,2025-10-23T16:42:42.019910
26,199,False,,0.066,17,5000,2025-10-23T16:42:42.086365
27,199,False,,0.063,17,5000,2025-10-23T16:42:42.149812
28,199,False,,0.064,17,5000,2025-10-23T16:42:42.214813
29,199,False,,0.062,17,5000,2025-10-23T16:42:42.276975
30,199,False,,0.06,17,5000,2025-10-23T16:42:42.337156
31,199,False,,0.053,17,5000,2025-10-23T16:42:42.389956
32,199,False,,0.058,17,5000,2025-10-23T16:42:42.448893
33,199,False,,0.07,17,5000,2025-10-23T16:42:42.519317
34,199,False,,0.052,17,5000,2025-10-23T16:42:42.571922
35,199,False,,0.06,17,5000,2025-10-23T16:42:42.632543
36,199,False,,0.052,17,5000,2025-10-23T16:42:42.685044
37,199,False,,0.064,17,5000,2025-10-23T16:42:42.748874
38,199,False,,0.073,17,5000,2025-10-23T16:42:42.822128
39,199,False,,0.052,17,5000,2025-10-23T16:42:42.875387
40,199,False,,0.06,17,5000,2025-10-23T16:42:42.935669
41,199,False,,0.06,17,5000,2025-10-23T16:42:42.996380
42,199,False,,0.061,17,5000,2025-10-23T16:42:43.057436
43,199,False,,0.052,17,5000,2025-10-23T16:42:43.109881
44,199,False,,0.073,17,5000,2025-10-23T16:42:43.183476
45,199,False,,0.063,17,5000,2025-10-23T16:42:43.246599
46,199,False,,0.06,17,5000,2025-10-23T16:42:43.306837
47,199,False,,0.052,17,5000,2025-10-23T16:42:43.359857
48,199,False,,0.052,17,5000,2025-10-23T16:42:43.412615
49,199,False,,0.058,17,5000,2025-10-23T16:42:43.470534
50,199,False,,0.059,17,5000,2025-10-23T16:42:43.530552
51,199,False,,0.052,17,5000,2025-10-23T16:42:43.583447
52,199,False,,0.061,17,5000,2025-10-23T16:42:43.644508
53,199,False,,0.056,17,5000,2025-10-23T16:42:43.700703
54,199,False,,0.052,17,5000,2025-10-23T16:42:43.753404
55,199,False,,0.052,17,5000,2025-10-23T16:42:43.806260
56,199,False,,0.052,17,5000,2025-10-23T16:42:43.858989
57,199,False,,0.053,17,5000,2025-10-23T16:42:43.911792
58,199,False,,0.052,17,5000,2025-10-23T16:42:43.964791
59,199,False,,0.054,17,5000,2025-10-23T16:42:44.019002
60,199,False,,0.052,17,5000,2025-10-23T16:42:44.071751
61,199,False,,0.057,17,5000,2025-10-23T16:42:44.129331
62,199,False,,0.052,17,5000,2025-10-23T16:42:44.182358
63,199,False,,0.052,17,5000,2025-10-23T16:42:44.235136
64,199,False,,0.059,17,5000,2025-10-23T16:42:44.294843
65,199,False,,0.052,17,5000,2025-10-23T16:42:44.347292
66,199,False,,0.052,17,5000,2025-10-23T16:42:44.400222
67,199,False,,0.059,17,5000,2025-10-23T16:42:44.460237
68,199,False,,0.052,17,5000,2025-10-23T16:42:44.512981
69,199,False,,0.052,17,5000,2025-10-23T16:42:44.565858
70,199,False,,0.054,17,5000,2025-10-23T16:42:44.620374
71,199,False,,0.052,17,5000,2025-10-23T16:42:44.673350
72,199,False,,0.052,17,5000,2025-10-23T16:42:44.726240
73,199,False,,0.053,17,5000,2025-10-23T16:42:44.779331
74,199,False,,0.052,17,5000,2025-10-23T16:42:44.832119
75,199,False,,0.053,17,5000,2025-10-23T16:42:44.885091
76,199,False,,0.052,17,5000,2025-10-23T16:42:44.937674
77,199,False,,0.053,17,5000,2025-10-23T16:42:44.990549
78,199,False,,0.052,17,5000,2025-10-23T16:42:45.043737
79,199,False,,0.052,17,5000,2025-10-23T16:42:45.096653
80,199,False,,0.053,17,5000,2025-10-23T16:42:45.150391
81,199,False,,0.053,17,5000,2025-10-23T16:42:45.203961
82,199,False,,0.052,17,5000,2025-10-23T16:42:45.256457
83,199,False,,0.052,17,5000,2025-10-23T16:42:45.309135
84,199,False,,0.052,17,5000,2025-10-23T16:42:45.361976
85,199,False,,0.052,17,5000,2025-10-23T16:42:45.414619
86,199,False,,0.055,17,5000,2025-10-23T16:42:45.469746
87,199,False,,0.052,17,5000,2025-10-23T16:42:45.522530
88,199,False,,0.052,17,5000,2025-10-23T16:42:45.575315
89,199,False,,0.052,17,5000,2025-10-23T16:42:45.627877
90,199,False,,0.052,17,5000,2025-10-23T16:42:45.680384
91,199,False,,0.052,17,5000,2025-10-23T16:42:45.733159
92,199,False,,0.053,17,5000,2025-10-23T16:42:45.786676
93,199,False,,0.053,17,5000,2025-10-23T16:42:45.839672
94,199,False,,0.052,17,5000,2025-10-23T16:42:45.892322
95,199,False,,0.052,17,5000,2025-10-23T16:42:45.945118
96,199,False,,0.052,17,5000,2025-10-23T16:42:45.997700
97,199,False,,0.052,17,5000,2025-10-23T16:42:46.050307
98,199,False,,0.052,17,5000,2025-10-23T16:42:46.103255
99,199,False,,0.052,17,5000,2025-10-23T16:42:46.155999
100,199,False,,0.052,17,5000,2025-10-23T16:42:46.208636
