id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,200,ZNeighborhood,10002,8,true,5692,30.08
1,200,ZNeighborhood,10002,4,true,2382,30.13
2,200,ZNeighborhood,10002,3,true,592,30.13
3,200,ZNeighborhood,10002,5,true,3588,30.08
4,200,ZNeighborhood,10002,5,true,5417,30.13
0,210,ZNeighborhood,10002,6,true,5692,28.70
1,210,ZNeighborhood,10002,3,true,2382,28.66
2,210,ZNeighborhood,10002,2,true,592,28.66
3,210,ZNeighborhood,10002,3,true,3588,28.66
4,210,ZNeighborhood,10002,5,true,5417,28.66
0,220,ZNeighborhood,10002,5,true,5692,27.37
1,220,ZNeighborhood,10002,3,true,2382,27.37
2,220,ZNeighborhood,10002,2,true,592,27.37
3,220,ZNeighborhood,10002,4,true,3588,27.40
4,220,ZNeighborhood,10002,6,true,5417,27.37
0,230,ZNeighborhood,10002,6,true,5692,26.18
1,230,ZNeighborhood,10002,3,true,2382,26.18
2,230,ZNeighborhood,10002,3,true,592,26.15
3,230,ZNeighborhood,10002,4,true,3588,26.18
4,230,ZNeighborhood,10002,5,true,5417,26.18
0,240,ZNeighborhood,10002,6,true,5692,25.07
1,240,ZNeighborhood,10002,3,true,2382,25.07
2,240,ZNeighborhood,10002,2,true,592,25.10
3,240,ZNeighborhood,10002,5,true,3588,25.07
4,240,ZNeighborhood,10002,6,true,5417,25.10
0,245,ZNeighborhood,10002,6,true,5692,24.57
1,245,ZNeighborhood,10002,3,true,2382,24.61
2,245,ZNeighborhood,10002,2,true,592,24.61
3,245,ZNeighborhood,10002,4,true,3588,24.61
4,245,ZNeighborhood,10002,6,true,5417,24.57
0,248,ZNeighborhood,10002,5,true,5692,24.28
1,248,ZNeighborhood,10002,3,true,2382,24.28
2,248,ZNeighborhood,10002,2,true,592,24.28
3,248,ZNeighborhood,10002,4,true,3588,24.28
4,248,ZNeighborhood,10002,5,true,5417,24.28
0,250,ZNeighborhood,10002,6,true,5692,24.07
1,250,ZNeighborhood,10002,3,true,2382,24.10
2,250,ZNeighborhood,10002,3,true,592,24.10
3,250,ZNeighborhood,10002,4,true,3588,24.07
4,250,ZNeighborhood,10002,5,true,5417,24.10
0,252,ZNeighborhood,10002,5,true,5692,23.90
1,252,ZNeighborhood,10002,3,true,2382,23.87
2,252,ZNeighborhood,10002,2,true,592,23.87
3,252,ZNeighborhood,10002,4,true,3588,23.87
4,252,ZNeighborhood,10002,6,true,5417,23.87
0,254,ZNeighborhood,10002,5,true,5692,23.70
1,254,ZNeighborhood,10002,4,true,2382,23.70
2,254,ZNeighborhood,10002,2,true,592,23.70
3,254,ZNeighborhood,10002,5,true,3588,23.73
4,254,ZNeighborhood,10002,6,true,5417,23.73
0,256,ZNeighborhood,10002,6,true,5692,23.51
1,256,ZNeighborhood,10002,4,true,2382,23.53
2,256,ZNeighborhood,10002,2,true,592,23.51
3,256,ZNeighborhood,10002,5,true,3588,23.51
4,256,ZNeighborhood,10002,6,true,5417,23.51
0,258,ZNeighborhood,10002,7,true,5692,23.31
1,258,ZNeighborhood,10002,4,true,2382,23.31
2,258,ZNeighborhood,10002,3,true,592,23.31
3,258,ZNeighborhood,10002,5,true,3588,23.31
4,258,ZNeighborhood,10002,6,true,5417,23.31
0,260,ZNeighborhood,10002,7,true,5692,23.15
1,260,ZNeighborhood,10002,4,true,2382,23.15
2,260,ZNeighborhood,10002,2,true,592,23.15
3,260,ZNeighborhood,10002,5,true,3588,23.15
4,260,ZNeighborhood,10002,6,true,5417,23.18
id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,200,ResidueFilter,2436,4,true,759,7.33
1,200,ResidueFilter,2503,4,true,23,7.54
2,200,ResidueFilter,2527,3,true,1239,7.61
3,200,ResidueFilter,2505,3,true,1020,7.53
4,200,ResidueFilter,2461,2,true,1093,7.41
0,210,ResidueFilter,2485,1,true,395,7.13
1,210,ResidueFilter,2509,1,true,706,7.19
2,210,ResidueFilter,2492,1,true,1013,7.14
3,210,ResidueFilter,2505,2,true,1020,7.18
4,210,ResidueFilter,2495,3,true,2055,7.15
0,220,ResidueFilter,2542,2,true,296,6.95
1,220,ResidueFilter,2529,1,true,19,6.92
2,220,ResidueFilter,2490,1,true,213,6.81
3,220,ResidueFilter,2489,2,true,471,6.82
4,220,ResidueFilter,2547,2,true,231,6.97
0,230,ResidueFilter,2436,2,true,759,6.38
1,230,ResidueFilter,2529,2,true,19,6.62
2,230,ResidueFilter,2499,4,true,1068,6.53
3,230,ResidueFilter,2548,2,true,720,6.67
4,230,ResidueFilter,2495,3,true,2055,6.53
0,240,ResidueFilter,2485,2,true,395,6.23
1,240,ResidueFilter,2467,2,true,81,6.18
2,240,ResidueFilter,2490,2,true,213,6.25
3,240,ResidueFilter,2489,2,true,471,6.24
4,240,ResidueFilter,2495,4,true,2055,6.26
0,245,ResidueFilter,2485,2,true,395,6.11
1,245,ResidueFilter,2529,1,true,19,6.22
2,245,ResidueFilter,2492,3,true,1013,6.13
3,245,ResidueFilter,2489,2,true,471,6.12
4,245,ResidueFilter,2495,3,true,2055,6.13
0,248,ResidueFilter,2436,2,true,759,5.91
1,248,ResidueFilter,2503,1,true,23,6.08
2,248,ResidueFilter,2490,2,true,213,6.04
3,248,ResidueFilter,2466,3,true,1470,5.99
4,248,ResidueFilter,2547,2,true,231,6.18
0,250,ResidueFilter,2542,2,true,296,6.12
1,250,ResidueFilter,2503,2,true,23,6.03
2,250,ResidueFilter,2490,1,true,213,6.00
3,250,ResidueFilter,2505,2,true,1020,6.03
4,250,ResidueFilter,2495,3,true,2055,6.01
0,252,ResidueFilter,2436,3,true,759,5.82
1,252,ResidueFilter,2503,2,true,23,5.97
2,252,ResidueFilter,2527,3,true,1239,6.03
3,252,ResidueFilter,2505,2,true,1020,5.98
4,252,ResidueFilter,2547,2,true,231,6.08
0,254,ResidueFilter,2545,3,true,1259,6.03
1,254,ResidueFilter,2467,1,true,81,5.85
2,254,ResidueFilter,2490,2,true,213,5.90
3,254,ResidueFilter,2505,2,true,1020,5.94
4,254,ResidueFilter,2495,4,true,2055,5.92
0,256,ResidueFilter,2545,2,true,1259,5.98
1,256,ResidueFilter,2529,2,true,19,5.95
2,256,ResidueFilter,2490,2,true,213,5.85
3,256,ResidueFilter,2489,2,true,471,5.85
4,256,ResidueFilter,2547,2,true,231,5.99
0,258,ResidueFilter,2436,2,true,759,5.68
1,258,ResidueFilter,2529,2,true,19,5.90
2,258,ResidueFilter,2499,2,true,1068,5.83
3,258,ResidueFilter,2505,2,true,1020,5.84
4,258,ResidueFilter,2495,3,true,2055,5.82
0,260,ResidueFilter,2485,2,true,395,5.75
1,260,ResidueFilter,2509,2,true,706,5.81
2,260,ResidueFilter,2527,3,true,1239,5.85
3,260,ResidueFilter,2466,2,true,1470,5.71
4,260,ResidueFilter,2495,4,true,2055,5.78
id,digits,builder,cand_count,time_ms,success,tries_to_hit,reduction_pct
0,260,MetaSelection,6253,12,false,0,0.00
